Biotype,Resequenced type,Original name,Paper name,Number of reads,"Apisum
Nuclear","Mito-
Chondrion","Buchnera
AphidicolaAPS","Buchnera
aphidicola_pLeu","Buchnera
Aphidicola_pTrp","Spiroplasma
Draft",Spiroplasma_pSKU,"Hamiltonella
Defensa","Hamiltonella
defensa_pHD5AT",Phage APSE,Rickettsiella viridis,"Regiella
Insecticola","Regiella
Insecticola_pRILSR1",Wolbachia,"Rickettsia
Draft","Rickettsia
Ixodes_pREIS3","Rickettsiella
Felis_pRF","Rickettsia
Africae_pRAF","Rickettsia
Helvetica_pRhe","Rickettsia
Monacensis_pRM","Serratia
Symbiotica",Fukatsuia symbiotica,unmapped,Pourcentage unmapped
Pisum sativum,Individual (whole body),ArPo28,Po_ind1,84627212,14.28,1873.98,775.49,348.10,3377.73,0.36,0.01,0.03,0.00,0.05,0.00,0.02,0.01,0.00,41.48,3.87,1.86,3.43,3.92,4.41,7.48,0.00,378150,0.45%
Pisum sativum,Individual (whole body),ArPo31,Po_ind2,70939276,12.26,400.07,130.76,60.47,637.27,0.75,0.00,0.02,0.01,0.12,0.01,0.01,0.00,0.01,178.31,13.93,8.57,12.08,15.47,16.36,0.07,0.00,870896,1.23%
Pisum sativum,Individual (whole body),Ar_Po_58,Po_ind3,67531634,11.94,491.20,277.14,195.03,905.91,0.13,0.00,0.08,0.17,0.63,0.00,0.25,0.09,0.00,0.12,0.00,0.01,0.02,0.00,0.01,0.00,0.02,176814,0.26%
Lathyrus pratensis,Individual (whole body),L10Lap02,Lp_ind1,90129018,15.70,811.77,572.15,336.95,1882.89,0.01,0.02,0.01,0.00,0.01,0.00,0.02,0.00,0.00,0.13,0.01,0.01,0.02,0.04,0.02,0.02,0.00,764398,0.85%
Meliotus officinalis,Individual (whole body),L10Mo01,Mo_ind1,80324962,13.41,1364.37,1032.10,580.68,4003.39,0.01,0.01,0.05,0.03,0.46,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,235652,0.29%
Meliotus officinalis,Individual (whole body),L10Mo03,Mo_ind2,118458698,20.22,989.49,1197.91,696.04,4566.48,0.00,0.00,0.05,0.05,0.47,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,397648,0.34%
Vicia cracca,Individual (whole body),L11Vc04,Vc_ind1,100485004,14.98,857.58,739.45,469.23,1673.90,261.86,1.37,0.04,0.01,0.08,0.03,0.06,0.01,0.02,13.69,0.05,0.01,0.00,0.04,0.02,5.52,0.01,617308,0.61%
Vicia cracca,Individual (whole body),L11Vc05,Vc_ind2,70314816,11.96,749.02,665.56,497.38,2379.77,0.16,0.01,0.01,0.01,0.05,0.00,0.02,0.00,0.00,0.04,0.00,0.00,0.01,0.00,0.00,0.00,0.00,245236,0.35%
Lathyrus pratensis,Individual (whole body),L14Lap03,Lp_ind3,83816556,14.53,936.08,517.16,394.66,2014.27,0.01,0.01,0.01,0.01,0.05,0.00,0.03,0.00,0.00,0.06,0.01,0.00,0.00,0.01,0.00,0.00,0.00,658030,0.79%
Ononis spinosa,Individual (whole body),L14Os02,Os_ind1,89119270,7.97,559.90,408.46,261.88,1198.55,0.00,0.01,1.26,0.36,1.27,0.00,0.01,0.06,0.00,0.03,0.00,0.00,0.01,0.01,0.00,0.01,0.00,151090,0.17%
Ononis spinosa,Individual (whole body),L14Os06,Os_ind2,95317868,8.37,675.62,538.58,443.03,2764.76,0.00,0.00,0.15,0.23,1.57,0.00,0.01,0.04,0.00,0.21,0.06,0.01,0.00,0.04,0.01,0.00,0.03,171254,0.18%
Ononis spinosa,Individual (whole body),L14Os08,Os_ind3,78281190,12.41,337.82,1380.59,729.10,2684.80,0.02,0.00,49.05,74.05,212.89,0.00,0.53,40.65,0.01,0.04,0.00,8.21,0.00,0.00,0.00,0.99,0.02,433340,0.55%
Securigea varia,Individual (whole body),L14Sv01,Sv_ind1,91642522,16.08,711.86,588.85,258.03,1905.41,0.02,0.00,0.01,0.01,0.04,0.00,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,245322,0.27%
Securigea varia,Individual (whole body),L15Sv08,Sv_ind2,89558300,15.84,454.49,439.81,281.71,1305.04,0.00,0.00,0.05,0.02,0.10,0.00,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.83,0.00,243840,0.27%
Securigea varia,Individual (whole body),L15Sv14,Sv_ind3,80884844,13.56,1715.43,930.85,640.14,3070.43,0.00,0.00,0.17,0.06,0.68,0.04,0.02,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.61,0.00,285070,0.35%
Medicago lupulina,Individual (whole body),L17ML03,Ml_ind1,92022722,15.88,553.27,591.24,332.22,2075.03,0.00,0.00,0.04,0.01,0.46,0.00,0.02,0.00,0.00,24.57,3.07,1.40,1.87,1.32,2.01,0.00,0.00,696208,0.76%
Cytisus scoparius,Individual (whole body),L19Cs01,Cs_ind1,64920700,10.70,787.08,885.47,451.27,3945.80,0.00,0.00,0.00,0.01,0.01,0.00,0.12,0.03,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,188936,0.29%
Vicia cracca,Individual (whole body),L1Vc01,Vc_ind3,80644638,11.42,790.93,688.64,364.90,2290.77,1333.05,13.60,0.17,0.05,0.28,0.18,0.04,0.09,0.13,64.25,0.00,0.01,0.00,0.01,0.01,6.59,0.02,1420788,1.76%
lotus corniculatus,Individual (whole body),L3Lc03,Lc_ind3,75820950,13.65,397.39,173.60,118.38,865.45,0.72,0.01,0.00,0.00,0.00,0.00,0.16,0.03,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.01,223896,0.30%
Medicago lupulina,Individual (whole body),L3ML02,Ml_ind2,107535240,17.96,1184.61,854.47,464.40,4592.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.00,0.01,168.50,54.48,17.05,7.39,27.57,25.43,0.00,0.00,1249102,1.16%
Medicago lupulina,Individual (whole body),L3ML04,Ml_ind3,59236030,10.46,262.72,161.52,83.98,614.94,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,32.33,8.39,3.05,1.39,4.81,4.26,0.00,0.00,527432,0.89%
lotus corniculatus,Individual (whole body),L4Lc03,Lc_ind1,117948204,20.04,2082.31,1220.01,659.77,3372.58,0.12,0.00,0.00,0.00,0.01,0.00,0.02,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,329344,0.28%
Lathyrus pratensis,Individual (whole body),L6Lap03,Lp_ind3,88507818,15.33,867.67,623.53,342.67,1520.20,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,697640,0.79%
Meliotus officinalis,Individual (whole body),L6Mo02,Mo_ind3,80617136,14.27,414.45,413.31,261.11,1490.96,0.00,0.00,0.02,0.03,0.23,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,223800,0.28%
lotus corniculatus,Individual (whole body),L7Lc20,Lc_ind2,79392488,13.87,816.20,505.70,357.65,1574.87,2.31,0.00,0.00,0.00,0.02,0.00,0.01,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.02,0.00,202974,0.26%
Trifolium pratense,Individual (whole body),L7Tp01,Tp_ind1,68855924,9.98,237.61,231.46,125.16,860.98,0.07,0.00,0.77,1.25,2.11,0.01,67.95,8.75,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.10,2.16,632876,0.92%
Trifolium pratense,Individual (whole body),L7Tp17,Tp_ind2,74743816,10.90,435.09,332.99,219.57,1586.81,0.11,0.00,0.43,0.89,0.16,0.01,49.92,4.32,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.07,1.57,653624,0.87%
Trifolium pratense,Individual (whole body),L7Tp23,Tp_ind3,88840260,11.78,1367.35,1185.13,1046.21,4205.75,246.08,4.18,0.19,0.81,0.28,0.05,44.95,6.18,0.03,11.60,0.00,0.00,0.00,0.01,0.00,0.07,1.16,893884,1.01%
Medicago sativa,Individual (whole body),L9Ms03,Ms_ind1,83136024,14.32,289.54,235.49,119.12,476.34,0.00,0.00,89.59,70.53,953.93,57.45,0.98,6.57,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.26,0.02,290796,0.35%
Medicago sativa,Individual (whole body),L9Ms05,Ms_ind2,74691884,6.44,206.81,265.60,171.06,683.08,0.00,0.00,52.11,91.20,514.17,0.00,1.92,22.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,13.88,407958,0.55%
Medicago sativa,Individual (whole body),L9Ms14,Ms_ind3,75703134,6.51,271.92,264.04,144.45,777.42,0.00,0.00,6.26,1.43,57.38,0.00,0.04,0.34,0.00,0.09,0.01,0.00,0.00,0.00,0.02,0.03,0.02,136780,0.18%
Cytisus scoparius,Individual (whole body),R21Cs02,Cs_ind2,105733768,17.66,1418.05,1282.11,676.80,8250.28,0.00,0.01,0.00,0.00,0.02,0.00,0.18,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,338812,0.32%
Medicago sativa,pooled,Alfalfa,Ms_pool1,600780510,99.06,4683.97,5961.06,3384.15,9272.93,111.03,2.15,604.91,972.62,5969.38,26.09,115.97,367.46,0.04,8.81,0.24,25.70,0.24,0.25,0.26,6.22,179.18,5842290,0.97%
Trifolium pratense,pooled,Clover,Tp_pool1,729778710,122.46,4472.84,5149.70,3407.12,13840.52,279.32,5.36,70.74,47.58,266.67,41.69,509.17,75.27,0.08,26.76,3.80,60.40,0.69,9.71,7.73,1.32,80.10,6178436,0.85%
Genista sagitallis,pooled,Gs,Gs_pool,373632410,63.39,2196.57,2451.97,1484.56,6753.68,0.20,0.01,390.02,548.88,2504.81,0.02,3.48,44.50,0.01,0.11,0.02,0.00,0.02,0.04,0.04,39.99,0.11,2099116,0.56%
Genista tinctoria,pooled,Gt,Gt_pool,426729082,72.27,2241.84,2674.19,1597.62,5525.65,0.24,0.00,415.93,116.15,6342.12,0.02,2.08,88.56,0.01,0.14,0.04,0.02,0.02,0.04,0.02,38.90,0.09,2543792,0.60%
Lotus corniculatus,pooled,Lc,Lc_pool,452447488,78.06,5717.69,3396.81,1983.70,8222.07,0.41,0.04,0.31,0.09,1.94,0.02,0.17,0.34,0.02,0.25,0.06,0.02,0.01,0.07,0.05,19.84,0.04,2231704,0.49%
Meliotus officinalis,pooled,Mel,Mo_pool,384596600,63.67,3202.12,4639.09,2984.92,8985.63,0.41,0.12,21.97,2.76,18.99,0.06,83.86,835.19,0.07,0.15,0.08,0.06,0.02,0.08,0.07,0.53,2.76,4592524,1.19%
Medicago lupulina,pooled,MI,Ml_pool,417546150,63.55,4775.51,3757.63,2024.38,9602.12,1.19,0.28,22.11,15.63,178.40,0.04,30.59,40.44,0.04,271.88,86.58,35.13,13.46,46.54,40.59,25.26,0.91,3283872,0.79%
Ononis spinosa,pooled,Os,Os_pool,432834656,74.74,2779.84,3536.84,2341.81,16170.74,0.24,0.05,40.30,50.65,213.23,0.01,0.51,31.61,0.01,0.12,0.03,3.38,0.04,0.06,0.03,9.73,0.04,1640464,0.38%
Onobrychis viciifolia,pooled,Ov,Ov_pool,413861492,67.68,3446.24,4399.86,2497.78,7136.21,33.74,0.19,5.16,2.12,74.67,0.06,31.58,4.78,0.12,155.10,53.46,20.44,6.87,28.71,24.28,23.13,0.95,11941742,2.89%
Pisum sativum,pooled,Pea,Ps_pool1,704742700,118.71,5614.81,6930.73,4132.64,11365.36,45.20,0.25,0.54,0.05,1.16,103.90,0.19,0.36,0.03,423.20,82.31,33.37,24.21,52.79,49.54,91.62,0.03,3764384,0.53%
Securigea varia,pooled,Sv,Sv_pool,345146082,65.57,3380.78,2403.96,1331.69,7198.03,122.33,2.61,0.61,0.18,2.28,0.14,0.52,0.48,0.15,5.66,0.11,0.14,0.13,0.11,0.17,39.51,0.12,9138222,2.65%
Vicia cracca,pooled,Vc,Vc_pool,368551630,57.34,7683.33,4013.73,2069.89,7870.41,916.94,15.88,0.95,0.21,1.71,1.07,0.77,0.42,1.06,50.52,0.44,0.15,0.37,0.40,0.12,19.56,0.31,17560980,4.76%
Medicago sativa,pooled,Cast,Ms_pool2,265829640,42.29,2730.72,2809.89,1371.82,7098.65,0.23,0.04,174.99,132.14,1712.71,30.47,42.27,294.14,0.04,0.19,0.04,18.33,0.02,0.20,0.10,0.79,1.48,1355204,0.51%
Medicago sativa,pooled,Gers,Ms_pool3,238093070,38.00,2114.21,2456.88,1127.83,5869.45,0.13,0.08,247.39,282.24,3366.62,41.37,25.39,251.92,0.03,67.95,15.35,6.88,4.06,7.64,8.35,1.59,10.95,1552412,0.65%
Medicago sativa,pooled,Lus,Ms_pool4,255269522,40.52,3031.45,2411.88,1178.53,8535.01,119.63,1.13,269.90,324.97,4617.66,14.13,16.24,149.20,0.05,11.73,1.73,0.78,0.20,1.00,0.77,2.02,22.44,1688486,0.66%
Medicago sativa,pooled,Mil,Ms_pool5,269588018,43.19,1943.93,2795.34,1662.15,6485.88,123.50,3.64,184.66,115.14,1024.93,50.58,138.68,74.07,0.21,6.73,0.08,49.74,0.02,0.93,0.48,1.26,21.75,3001154,1.11%
Medicago sativa,pooled,Vl,Ms_pool6,279940268,43.00,1964.20,3180.38,1756.23,4363.56,0.28,0.02,497.39,908.32,4974.07,0.12,22.45,224.41,0.06,0.10,0.04,0.06,0.00,0.03,0.01,4.15,130.72,2355376,0.84%
Medicago sativa,pooled,Sl,Ms_pool7,156636276,44.93,2469.26,3517.25,1892.23,5536.83,52.26,0.60,137.09,176.39,1608.85,0.24,59.52,379.68,0.07,3.31,0.04,0.15,0.03,0.03,0.03,1.05,45.33,9138222,5.83%
